Data,Cidade,Estado,Temperatura Máxima (C),Temperatura Mínima (C),Condição
2025-06-08,San Paulo,Sao Paulo,22.6,15.3,Heavy rain
2025-06-09,San Paulo,Sao Paulo,16.8,14.2,Moderate rain
2025-06-10,San Paulo,Sao Paulo,17.7,12.6,Patchy rain nearby
2025-06-11,San Paulo,Sao Paulo,16.9,10.8,Patchy rain nearby
2025-06-12,San Paulo,Sao Paulo,15.4,10.1,Patchy rain nearby
2025-06-13,San Paulo,Sao Paulo,17.2,9.1,Sunny
2025-06-14,San Paulo,Sao Paulo,20.8,8.6,Sunny
2025-06-15,San Paulo,Sao Paulo,21.8,11.2,Patchy rain nearby
2025-06-16,San Paulo,Sao Paulo,20.7,14.2,Patchy rain nearby
2025-06-17,San Paulo,Sao Paulo,17.9,15.8,Patchy rain nearby
2025-06-18,San Paulo,Sao Paulo,19.9,16.0,Patchy rain nearby
2025-06-19,San Paulo,Sao Paulo,21.3,16.5,Cloudy 
2025-06-20,San Paulo,Sao Paulo,20.6,17.2,Patchy rain nearby
2025-06-21,San Paulo,Sao Paulo,26.3,16.1,Sunny
